lat,lon,direction
39.7117838,-105.0711565,140
39.7694407,-105.0531497,345
39.7250044,-105.0252188,160
39.7260506,-105.0326163,155
39.7399643,-105.0026743,70
39.7402715,-104.9983423,0
39.7402686,-104.99806,320
39.7402267,-105.0029992,250
39.7399265,-104.9749203,80
39.7401043,-104.9749344,245
39.7692301,-105.0253328,165
39.7693247,-105.0253512,250
39.7700564,-105.0251547,345
39.7692513,-105.0251661,65
39.6858058,-104.9404637,345
39.6770914,-105.0801412,45
39.9584663,-105.1542165,355
39.9554417,-105.1659977,260
39.9551105,-105.1659202,165
39.9551505,-105.1654527,70
39.9555127,-105.1654875,345
39.5644127,-104.8805149,125
39.5606516,-104.8796648,115
39.5591774,-104.8735064,345
39.5630117,-104.8728837,270
39.5656685,-104.876358,195
39.5655675,-104.8763572,20
39.599937,-104.7049005,310
39.9611998,-105.2001394,70
39.9612272,-105.1753307,280
39.9584422,-105.1000889,240
39.740304,-105.0531205,90
39.74048,-105.0531914,0
39.7404385,-105.0534139,270
39.7402228,-105.0532982,180
39.7401238,-105.0815824,165
39.7110291,-104.9876988,170
39.7112409,-104.9877164,260
39.7111056,-104.9875149,80
39.7112134,-104.9591725,360
39.7400688,-104.9123363,90
39.7402783,-104.9404976,350
39.74002,-104.9036072,155
39.7400498,-104.9033755,70
39.740304,-104.9033121,345
39.7402916,-104.8847688,245
39.7400421,-104.8845382,70
39.7673854,-104.903598,160
39.7402836,-104.8989181,245
39.7400311,-104.8986679,75
39.7117461,-104.9405868,355
39.7620094,-104.9408255,245
39.762119,-104.9403807,335
39.7616579,-104.9407571,160
39.703124,-104.9130428,277
39.6529424,-104.9127354,69
39.7028464,-104.9129888,160
39.7026303,-104.9126668,110
39.7029485,-104.9126784,343
39.7400271,-104.9438735,70
39.7330369,-105.0253378,255
39.6441738,-105.0597887,225
39.6441793,-105.0597748,90
39.6525969,-104.9493982,165
39.6524219,-104.9492652,350
39.6730898,-104.9318453,259
39.6749851,-104.8782465,345
39.6763506,-104.9034567,125
39.676468,-104.9037812,165
39.6976185,-104.9034301,345
39.7759069,-104.8360899,270
39.776419,-104.8357734,315
39.9434433,-105.1471368,165
39.6894329,-104.9404946,350
39.6930805,-104.940518,350
39.7784241,-104.8377447,175
39.7780521,-104.8365515,175
39.778672,-104.8387558,355
39.7773997,-104.834972,270
39.7767347,-104.8354508,275
39.7775643,-104.8400245,110
39.7784893,-104.8400115,110
39.6835385,-104.8823919,240
39.7112916,-105.0253135,255
39.7402669,-104.9259705,255
39.8560448,-104.9405014,255
39.9141225,-104.9221194,250
39.957386,-104.9862229,75
39.9429164,-104.9862508,75
39.8679896,-104.9895995,240
39.8488764,-104.9831455,75
39.9402475,-104.9404196,165
39.7332026,-105.0534211,255
39.8020953,-105.077337,255
39.9690212,-105.083482,270
39.9681109,-105.0843942,0
39.9680919,-105.0844138,180
39.9676084,-105.0872087,10
39.9675946,-105.0872329,190
39.9675616,-105.0886733,335
39.9288755,-105.1378462,280
39.778374,-104.9686445,200
39.7401185,-105.0811512,65
39.9266794,-105.1206035,70
39.9269053,-105.1200561,215
39.9285313,-105.1204066,160
39.9286916,-105.1200428,235
39.9285405,-105.1210407,30
39.8668185,-105.1839475,170
39.6185329,-105.1684783,230
39.9119421,-105.1681282,10
39.7903067,-105.109779,255
39.6100132,-104.9294897,343
39.61003,-104.9297187,177
39.609942,-104.93688,150
39.9115144,-105.1687935,180
39.609942,-104.9366358,330
39.951007,-105.1473249,250
39.9508595,-105.147609,115
39.9287125,-105.1422535,65
39.9434297,-105.1469296,340
39.7749538,-105.1745332,335
39.810926,-105.1703488,185
39.8020617,-105.1082713,240
39.8017735,-105.1093266,60
39.7609715,-105.1722368,75
39.8604986,-105.0545834,195
39.7949742,-105.0793989,275
39.9142992,-105.1459885,345
39.9605926,-105.1564015,
39.5362536,-104.8262882,60
39.5366253,-104.8164345,240
39.5505489,-104.8396485,160
39.5371508,-104.8427322,340
39.5356152,-104.7721873,300
39.5330434,-104.7974614,45
39.5350214,-104.7744801,270
39.5556888,-104.8832165,100
39.5591639,-104.8803588,350
39.7702279,-104.8998431,260
39.77269,-104.9406386,180
39.5380521,-105.0349874,50
39.5423601,-104.9136772,270
39.5462659,-105.0044961,30
39.5364139,-104.9041084,72
39.9031421,-104.9779963,220
39.9031319,-104.9775451,320
39.5505139,-104.839455,210
39.7473815,-105.1426187,240
39.7341048,-105.1678733,245
39.7198346,-105.2050302,170
39.7198343,-105.2049453,350
39.7234891,-105.1922774,130
39.7909321,-105.0784113,195
39.7907178,-105.0784072,15
39.737383,-105.1921345,260
39.7255513,-105.1984,340
39.7596611,-105.2253152,165
39.746119,-105.2223738,35
39.7207617,-105.2000249,320
39.5636786,-104.7996808,110
39.5364514,-104.8733107,240
39.913847,-104.9780778,150
39.9138628,-104.9700608,55
39.8996072,-104.9968513,150
39.8917607,-104.9917098,170
39.8913689,-104.9892836,150
39.8904004,-104.9930962,50
39.8895643,-104.990306,220
39.889539,-104.9895625,155
39.8889083,-104.9903736,55
39.8876756,-104.9898967,320
39.8876667,-104.9895543,35
39.8875309,-104.9930689,45
39.886859,-104.9925821,65
39.8854801,-104.9921114,60
39.8855396,-104.9904673,330
39.8854185,-104.9904264,300
39.8852161,-104.9908073,300
39.8854613,-104.9896254,300
39.8810889,-104.9854904,180
39.8810952,-104.9844781,180
39.8794379,-104.9854339,330
39.8794382,-104.984222,30
39.8801493,-104.9843233,160
39.8851037,-104.9843119,60
39.899546,-104.9600153,230
39.8996199,-104.922123,150
39.7980423,-105.2216157,80
39.7984439,-105.2162073,250
39.7932728,-105.0818365,160
39.79274,-105.0810985,275
39.7914115,-105.0824921,345
39.7943131,-105.0809773,45
39.5585814,-104.779375,40
39.5585009,-104.7806347,200
39.5578253,-104.8818862,180
39.5335993,-104.7743458,330
39.9286595,-105.1273795,75
39.9282669,-105.1280859,160
39.9258946,-105.1276747,345
39.9205302,-105.1299553,0
39.9223237,-105.1294495,180
39.9284728,-104.9862729,70
39.5942239,-104.8208333,130
39.5784813,-104.8077473,315
39.5336172,-104.773215,330
39.9288428,-105.1259066,290
39.9173936,-105.105021,200
39.9164522,-105.1053252,45
39.9171024,-105.1109249,325
39.917917,-105.1117147,120
39.9174454,-105.1229153,0
39.9190245,-105.1224825,170
39.9186827,-105.1453424,215
39.5655791,-104.8740834,110
39.9618899,-105.168333,195
39.9620943,-105.1691015,185
39.771753,-104.9719593,215
39.5813122,-104.8733994,330
39.5234936,-104.8722166,210
39.5788486,-104.7920168,45
39.5734678,-104.7897239,90
39.5604768,-104.9040532,55
39.5625835,-104.9044325,200
39.5624719,-104.9046882,160
39.7254786,-104.8190932,75
39.7257561,-104.8216224,260
39.7258231,-104.7820974,255
39.5365821,-104.8517126,330
39.6530321,-105.1991178,50
39.8567908,-105.0766424,5
39.7913349,-105.0828772,230
39.8580993,-105.0762328,270
39.8559232,-105.0559813,160
39.5659842,-104.9855812,85
39.577762,-104.7140687,355
39.5781548,-104.7143316,175
39.577394,-104.7142819,180
39.5770457,-104.7140687,20
39.5791628,-105.139414,55
39.5475813,-105.0354864,60
39.9498624,-105.1236992,25
39.7548857,-105.0534138,270
39.7113052,-105.0017608,250
39.8872165,-105.0774858,225
39.9457776,-104.9921257,90
39.9443653,-104.9923714,26-96
39.6098707,-104.9656373,
39.6115838,-104.9602687,
39.9620945,-105.0498285,170
39.9620973,-105.0498329,340
39.8416921,-105.0526554,70
39.9143106,-104.9748485,40
39.6066908,-105.0730503,260
39.6230338,-105.0221058,0
39.6232199,-105.0221616,225
39.6228379,-105.0230061,0
39.6224365,-105.0238717,20
39.6003479,-104.7107847,25
39.6046993,-104.7036666,265
39.6080472,-104.70434,245
39.5588515,-104.8733992,120
39.7477277,-105.0580461,260
39.6967486,-104.9404923,350
39.696468,-104.9408762,170
39.6085633,-104.7692638,0
39.5573857,-105.0084322,175
39.5573815,-105.0082212,185
39.691015,-104.9408233,180
39.6855237,-104.9409428,175
39.8580807,-105.0779068,80
39.8571039,-105.0779518,90
39.8571599,-105.076188,250
39.6095134,-105.0832437,155
39.6909555,-104.8655769,120
39.6902546,-104.8643466,340
39.6901913,-104.863679,340
39.6936131,-104.862233,230
39.6957602,-104.8619696,240
39.6949175,-104.8619689,240
39.6961847,-104.8636838,130
39.6962719,-104.8644531,140
39.6960264,-104.8642501,90
39.6956669,-104.8656791,110
39.6947126,-104.8654993,50
39.6935308,-104.8652622,90;160
39.6918285,-104.8655063,50
39.691848,-104.8650215,80
39.6925145,-104.8646322,270
39.692155,-104.8636939,270
39.6937044,-104.8629255,240
39.5561693,-104.8834279,270
39.6199476,-104.9233739,230
39.7218649,-104.6786535,245
39.721747,-104.6790589,70
39.7167844,-104.6795124,260
39.7112889,-104.6831001,350
39.711411,-104.6832641,170
39.7165788,-104.679126,80
39.5980565,-104.679754,40
39.5984233,-104.678786,245
39.6243818,-104.7160575,75
39.624549,-104.7153027,240
39.628215,-104.7162342,55
39.6283478,-104.7158522,260
39.6299712,-104.6981995,240
39.6298354,-104.6984566,60
39.6262607,-104.6980862,250
39.6261347,-104.6982699,80
39.6229763,-104.69815,250
39.6228091,-104.6990527,60
39.6168881,-104.706293,340
39.5812815,-104.6720886,340
39.5821831,-104.6722837,30;150
39.673821,-104.7912751,240
39.6746692,-104.8096807,70
39.7132252,-104.6873155,250
39.7131131,-104.6875389,65
39.7182466,-104.6874791,65
39.7183978,-104.6873896,245
39.6967706,-104.8240233,245
39.6964643,-104.8237135,70
39.6965065,-104.8237098,87
39.6965355,-104.8237098,87
39.6965669,-104.8237098,87
39.7250417,-104.6832575,160
39.724746,-104.6830863,345
39.7112927,-104.8196373,245
39.7109509,-104.8191591,65
39.714718,-104.6874018,245
39.7146098,-104.6875626,65
39.7200079,-104.6876355,70
39.7201148,-104.6872346,245
39.7217735,-104.6876156,65
39.7218802,-104.6872585,245
39.6967683,-104.7913458,245
39.6964739,-104.7908437,70
39.6967615,-104.8101,250
39.6967089,-104.8100954,265
39.6966846,-104.8100961,265
39.6966514,-104.8100964,265
39.6964769,-104.8096634,70
39.6967977,-104.8190762,340
39.5665311,-104.7175512,150
39.5662992,-104.7170319,310
39.5696299,-104.7193705,40
39.5699425,-104.7189102,250
39.5703507,-104.7183268,55
39.5707671,-104.7179503,205
39.5803635,-104.7167497,60
39.5805537,-104.7163577,245
39.5750143,-104.7347708,140
