geometry,address,oid,name,long,lat
POINT (-104.9681641 39.7389977),"1430, Franklin Street, 80218, Franklin Street, Denver, CO, United States",0,Art Cube,39.738981,-104.967884
POINT (-105.0489008 39.7732031),"4109, Wolff Street, 80212, Wolff Street, Denver, CO, United States",1,Chic bungalow with Sauna!,39.773048,-105.048909
POINT (-104.9132207 39.7383333),"East 14th Avenue, 80220, Denver, Colorado, United States",2,Maeve,39.738028,-104.912948
POINT (-104.9833434 39.7469211),"Chan Law Firm, 1900, Grant Street, 80203, Grant Street, Denver, CO, United States",3,Downtown Clubhouse with City Views,39.746911,-104.983178
POINT (-104.9830918 39.7544232),"830, 25th Street, 80205, 25th Street, Denver, CO, United States",4,Restored 1886 Home | Downtown Denver,39.754334,-104.982941
POINT (-104.9931956 39.7347904),"1159, Delaware Street, 80204, Delaware Street, Denver, CO, United States",5,"Downtown Modern Industrial 4 story, with rooftop patio view of downtown skyline",39.73472,-104.993042
POINT (-104.9840501 39.7571518),"2579, Arapahoe Street, 80294, Arapahoe Street, Denver, CO, United States",6,Downtown RiNo Modern Condo,39.757056,-104.983962
POINT (-104.9680801 39.750479),"2256, Franklin Street, 80205, Franklin Street, Denver, CO, United States",7,Historic Downtown Loft I City Park,39.75027,-104.968105
POINT (-105.0149474 39.7527575),"2323, 7th Street, 80211, 7th Street, Denver, CO, United States",8,Historic Denver Mansion,39.753036,-105.014956
POINT (-105.0149474 39.7527575),"2323, 7th Street, 80211, 7th Street, Denver, CO, United States",9,"First Floor of a Charming, Historic Denver Mansion",39.752949,-105.014305
POINT (-104.96251 39.7555754),"2657, Vine Street, 80205, Vine Street, Denver, CO, United States",10,Vine Street Residence,39.755691,-104.962568
POINT (-105.0077289 39.7634405),"1749, West 33rd Avenue, 80211, West 33rd Avenue, Denver, CO, United States",11,Modern Masterpiece Home,39.763478,-105.007761
POINT (-104.9968864 39.7241264),"West 5th Avenue, 80273, Denver, Colorado, United States",12,Historic 1890s Charming Home,39.724164,-104.996838
POINT (-104.97892 39.7697343),"3440, Brighton Boulevard, 80216, Brighton Boulevard, Denver, CO, United States",13,Mile-High Modern Retreat,39.769795,-104.978905
POINT (-104.9718497 39.7670868),"3600, Marion Street, 80205, Marion Street, Denver, CO, United States",14,Small Historic Urban Home,39.767092,-104.971849
POINT (-105.0141368 39.7646498),"2253, West 34th Avenue, 80211, West 34th Avenue, Denver, CO, United States",15,Stylish Victorian Home,39.764579,-105.01407
POINT (-105.0146676 39.7646375),"3401, Wyandot Street, 80211, Wyandot Street, Denver, CO, United States",16,Beautiful Denver Square,39.764649,-105.014496
POINT (-105.0208061 39.7629702),"3249, Clay Street, 80211, Clay Street, Denver, CO, United States",17,Light Filled Historic Downtown Pioneer Mansion,39.762924,-105.0207
POINT (-105.0138093 39.7744582),"4215, Vallejo Street, 80211, Vallejo Street, Denver, CO, United States",18,"Modern ""Mountain meets SoCal"" Home",39.774444,-105.013988
POINT (-105.0220205 39.7713723),"2759, West 39th Avenue, 80211, West 39th Avenue, Denver, CO, United States",19,City Neighborhood with Large Windows and Lush Trees,39.771282,-105.022044
